GHO,Indicator,PUBLISHSTATE,PUBLISH STATES,YEAR,Year,REGION,WHO region,COUNTRY,Country,Display Value,Numeric Value,Low Value,High Value,Comments
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,ESP,Spain,150 000 [130 000-160 000],150000,130000,160000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,GAB,Gabon,43 000 [31 000-62 000],43000,31000,62000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,GBR,United Kingdom,94 000 [74 000-120 000],94000,74000,120000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,GEO,Georgia, 4 900 [2 200-7 900],4900,2200,7900,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,GHA,Ghana,200 000 [170 000-230 000],200000,170000,230000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,GRC,Greece,11 000 [9 500-13 000],11000,9500,13000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AMR,Americas,GTM,Guatemala,62 000 [18 000-270 000],62000,18000,270000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AMR,Americas,GUY,Guyana, 5 900 [4 500-8 100],5900,4500,8100,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AMR,Americas,HND,Honduras,29 000 [22 000-40 000],29000,22000,40000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,SEAR,South-East Asia,IND,India,É,,,,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,IRL,Ireland, 7 800 [6 200-9 700],7800,6200,9700,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EMR,Eastern Mediterranean,IRN,Iran (Islamic Republic of),96 000 [79 000-120 000],96000,79000,120000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,ISL,Iceland,<1000 [<500-<1000],,,,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,KEN,Kenya,1 400 000 [1 300 000-1 500 000],1400000,1300000,1500000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,KGZ,Kyrgyzstan,12 000 [8 400-19 000],12000,8400,19000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,WPR,Western Pacific,KHM,Cambodia,56 000 [45 000-86 000],56000,45000,86000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,WPR,Western Pacific,KOR,Republic of Korea,15 000 [12 000-19 000],15000,12000,19000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,LSO,Lesotho,280 000 [270 000-290 000],280000,270000,290000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,LTU,Lithuania, 1 400 [1 100-2 000],1400,1100,2000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,LUX,Luxembourg,<1000 [<1000-1 100],,,,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,LVA,Latvia, 9 100 [6 400-13 000],9100,6400,13000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AMR,Americas,MEX,Mexico,180 000 [160 000-200 000],180000,160000,200000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,MLI,Mali,92 000 [70 000-120 000],92000,70000,120000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,MLT,Malta,<500 [<500-<500],,,,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,SEAR,South-East Asia,MMR,Myanmar,210 000 [180 000-250 000],210000,180000,250000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,WPR,Western Pacific,MYS,Malaysia,80 000 [70 000-88 000],80000,70000,88000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,NAM,Namibia,170 000 [140 000-210 000],170000,140000,210000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,NER,Niger,55 000 [48 000-60 000],55000,48000,60000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,NGA,Nigeria,3 000 000 [2 600 000-3 300 000],3000000,2600000,3300000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,WPR,Western Pacific,NZL,New Zealand, 2 600 [2 200-3 400],2600,2200,3400,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EMR,Eastern Mediterranean,OMN,Oman,É,,,,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EMR,Eastern Mediterranean,PAK,Pakistan,130 000 [74 000-250 000],130000,74000,250000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AMR,Americas,PAN,Panama,17 000 [11 000-28 000],17000,11000,28000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,SEAR,South-East Asia,PRK,Democratic People's Republic of Korea,É,,,,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,PRT,Portugal,48 000 [37 000-62 000],48000,37000,62000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AMR,Americas,PRY,Paraguay,12 000 [5 500-31 000],12000,5500,31000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,ROU,Romania,16 000 [13 000-19 000],16000,13000,19000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,RUS,Russian Federation,É [720 000-1 300 000],0,720000,1300000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,SLE,Sierra Leone,44 000 [35 000-64 000],44000,35000,64000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AMR,Americas,SLV,El Salvador,24 000 [12 000-58 000],24000,12000,58000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EMR,Eastern Mediterranean,SOM,Somalia,30 000 [20 000-45 000],30000,20000,45000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,SRB,Serbia, 3 500 [2 300-5 000],3500,2300,5000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,SVN,Slovenia,<1000 [<500-<1000],,,,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,SWE,Sweden, 9 100 [7 100-13 000],9100,7100,13000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,SWZ,Swaziland,170 000 [160 000-180 000],170000,160000,180000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,TCD,Chad,180 000 [150 000-240 000],180000,150000,240000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EMR,Eastern Mediterranean,TUN,Tunisia, 1 700 [1 500-1 900],1700,1500,1900,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,TUR,Turkey, 5 400 [3 900-7 500],5400,3900,7500,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,TZA,United Republic of Tanzania,1 300 000 [1 200 000-1 500 000],1300000,1200000,1500000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,UGA,Uganda,1 200 000 [1 100 000-1 300 000],1200000,1100000,1300000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,UKR,Ukraine,230 000 [180 000-300 000],230000,180000,300000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,WPR,Western Pacific,VNM,Viet Nam,240 000 [190 000-330 000],240000,190000,330000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EMR,Eastern Mediterranean,YEM,Yemen,20 000 [17 000-24 000],20000,17000,24000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,ZAF,South Africa,5 100 000 [4 900 000-5 400 000],5100000,4900000,5400000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,ZMB,Zambia,800 000 [740 000-880 000],800000,740000,880000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,WPR,Western Pacific,AUS,Australia,22 000 [18 000-27 000],22000,18000,27000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,AUT,Austria,17 000 [13 000-24 000],17000,13000,24000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,AZE,Azerbaijan, 6 700 [5 000-8 800],6700,5000,8800,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,BDI,Burundi,61 000 [53 000-70 000],61000,53000,70000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,BGR,Bulgaria, 3 800 [2 600-5 600],3800,2600,5600,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AMR,Americas,BHS,Bahamas, 6 200 [5 800-6 800],6200,5800,6800,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,BLR,Belarus,20 000 [15 000-30 000],20000,15000,30000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AMR,Americas,BLZ,Belize, 4 400 [3 800-5 000],4400,3800,5000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,BWA,Botswana,280 000 [270 000-300 000],280000,270000,300000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,CAF,Central African Republic,110 000 [75 000-120 000],110000,75000,120000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AMR,Americas,CAN,Canada,71 000 [63 000-89 000],71000,63000,89000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,CHE,Switzerland,20 000 [16 000-27 000],20000,16000,27000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,COG,Congo,71 000 [63 000-78 000],71000,63000,78000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AMR,Americas,COL,Colombia,150 000 [89 000-230 000],150000,89000,230000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,COM,Comoros,<500 [<200-<500],,,,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,CPV,Cape Verde, 2 800 [2 000-3 900],2800,2000,3900,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EMR,Eastern Mediterranean,DJI,Djibouti, 8 000 [6 100-11 000],8000,6100,11000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,DNK,Denmark, 6 100 [5 300-7 200],6100,5300,7200,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AMR,Americas,DOM,Dominican Republic,41 000 [35 000-47 000],41000,35000,47000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,DZA,Algeria,É [12 000-28 000],0,12000,28000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,EST,Estonia, 9 800 [8 200-12 000],9800,8200,12000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,ETH,Ethiopia,610 000 [560 000-680 000],610000,560000,680000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,FIN,Finland, 2 900 [2 500-3 500],2900,2500,3500,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,WPR,Western Pacific,FJI,Fiji,<500 [<200-<500],,,,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,FRA,France,160 000 [130 000-200 000],160000,130000,200000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,GIN,Guinea,73 000 [58 000-92 000],73000,58000,92000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,GMB,Gambia,12 000 [6 600-25 000],12000,6600,25000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,GNB,Guinea-Bissau,21 000 [17 000-24 000],21000,17000,24000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,GNQ,Equatorial Guinea,17 000 [15 000-26 000],17000,15000,26000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,HRV,Croatia, 1 200 [<1000-1 500],1200,,,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AMR,Americas,HTI,Haiti,100 000 [84 000-120 000],100000,84000,120000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,HUN,Hungary, 4 100 [3 100-5 200],4100,3100,5200,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,SEAR,South-East Asia,IDN,Indonesia,370 000 [230 000-560 000],370000,230000,560000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,ISR,Israel, 8 500 [6 600-11 000],8500,6600,11000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,ITA,Italy,150 000 [120 000-200 000],150000,120000,200000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AMR,Americas,JAM,Jamaica,29 000 [23 000-38 000],29000,23000,38000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,WPR,Western Pacific,JPN,Japan, 7 900 [6 100-10 000],7900,6100,10000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,KAZ,Kazakhstan,19 000 [17 000-23 000],19000,17000,23000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,WPR,Western Pacific,LAO,Lao People's Democratic Republic, 9 700 [7 700-13 000],9700,7700,13000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EMR,Eastern Mediterranean,LBN,Lebanon, 2 700 [1 800-3 900],2700,1800,3900,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,LBR,Liberia,20 000 [16 000-27 000],20000,16000,27000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,SEAR,South-East Asia,LKA,Sri Lanka, 4 100 [3 300-9 900],4100,3300,9900,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EMR,Eastern Mediterranean,MAR,Morocco,31 000 [20 000-44 000],31000,20000,44000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,MDA,Republic of Moldova,14 000 [12 000-17 000],14000,12000,17000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,MDG,Madagascar,31 000 [24 000-41 000],31000,24000,41000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,SEAR,South-East Asia,MDV,Maldives,<100 [<100-<100],,,,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,WPR,Western Pacific,MNG,Mongolia,<1000 [<1000-<1000],,,,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,MOZ,Mozambique,1 200 000 [1 100 000-1 300 000],1200000,1100000,1300000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,MRT,Mauritania,22 000 [12 000-39 000],22000,12000,39000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,MUS,Mauritius, 7 400 [5 100-10 000],7400,5100,10000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,MWI,Malawi,740 000 [690 000-790 000],740000,690000,790000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AMR,Americas,NIC,Nicaragua, 7 000 [3 100-18 000],7000,3100,18000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,NLD,Netherlands,25 000 [20 000-36 000],25000,20000,36000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,NOR,Norway, 4 500 [3 500-6 200],4500,3500,6200,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,SEAR,South-East Asia,NPL,Nepal,47 000 [30 000-96 000],47000,30000,96000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AMR,Americas,PER,Peru,70 000 [36 000-190 000],70000,36000,190000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,WPR,Western Pacific,PHL,Philippines,19 000 [16 000-24 000],19000,16000,24000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,WPR,Western Pacific,PNG,Papua New Guinea,24 000 [21 000-29 000],24000,21000,29000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,POL,Poland,35 000 [28 000-46 000],35000,28000,46000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,RWA,Rwanda,180 000 [160 000-220 000],180000,160000,220000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EMR,Eastern Mediterranean,SDN,Sudan,65 000 [53 000-79 000],65000,53000,79000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,SEN,Senegal,48 000 [39 000-59 000],48000,39000,59000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,WPR,Western Pacific,SGP,Singapore, 3 300 [2 700-4 200],3300,2700,4200,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EMR,Eastern Mediterranean,SSD,South Sudan,130 000 [88 000-180 000],130000,88000,180000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,STP,Sao Tome and Principe,<1000 [<1000-1 300],,,,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AMR,Americas,SUR,Suriname, 3 100 [2 200-4 900],3100,2200,4900,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,SVK,Slovakia,<500 [<500-<1000],,,,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,TGO,Togo,130 000 [100 000-160 000],130000,100000,160000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,SEAR,South-East Asia,THA,Thailand,480 000 [440 000-540 000],480000,440000,540000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,TJK,Tajikistan, 9 900 [6 200-16 000],9900,6200,16000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AMR,Americas,TTO,Trinidad and Tobago,13 000 [12 000-14 000],13000,12000,14000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AMR,Americas,URY,Uruguay,12 000 [5 900-33 000],12000,5900,33000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AMR,Americas,USA,United States of America,1 300 000 [1 000 000-2 000 000],1300000,1000000,2000000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,UZB,Uzbekistan,É,,,,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AMR,Americas,VEN,Venezuela (Bolivarian Republic of),97 000 [49 000-220 000],97000,49000,220000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,ZWE,Zimbabwe,1 000 000 [990 000-1 100 000],1000000,990000,1100000,
HIV_0000000003,Number of women aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,WPR,Western Pacific,AUS,Australia, 6 800 [5 300-8 500],6800,5300,8500,
HIV_0000000003,Number of women aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,AUT,Austria, 5 200 [3 900-7 200],5200,3900,7200,
HIV_0000000003,Number of women aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,AZE,Azerbaijan, 1 000 [<1000-1 400],1000,,,
HIV_0000000003,Number of women aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,BDI,Burundi,38 000 [33 000-44 000],38000,33000,44000,
HIV_0000000003,Number of women aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,BGR,Bulgaria, 1 100 [<1000-1 600],1100,,,
HIV_0000000003,Number of women aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AMR,Americas,BHS,Bahamas, 3 000 [2 800-3 300],3000,2800,3300,
